Rank,Marks
1.0,265
101.0,119
201.0,97
301.0,85
401.0,78
501.0,72
601.0,67
701.0,63
801.0,60
901.0,57
1001.0,55
1101.0,52
1201.0,50
1301.0,49
1401.0,47
1501.0,45
1601.0,43
1645.0,43
