Rank,Marks
1,310
101,157
201,135
201,123
401,113
501,107
701,98
801,93
901,90
1001,77
1101,75
1201,74
1301,71
1001,71
1901,69
2001,68
2101,66
2201,65
2301,64
1001,62
3201,61
3301,59
3401,58
3501,57
3601,56
3801,55
3901,54
4001,53
4101,52
4201,51
4401,50
4501,49
4001,46
4701,44
4801,44
4901,43
5001,43
5004,43
